text,average_path_length,maximum_path_length,num_clauses,num_phrases,num_subordinating_conjunctions,prop_nouns,prop_verbs,prop_adjectives,prop_pronouns,num_tokens,total_freq,avg_token_length
"В предыдущей статье речь шла о попытке возврата в 2000 г., в сценарий ""Диктатура развития"" в формате бюрократической авторитарной модернизации, сопровождаемой некоторой оттепелью (по сравнению с нынешним беспределом).",1.9705882352941173,29.0,1.0,4.0,0.0,0.3714285714285714,0.0571428571428571,0.1428571428571428,0.0,35,114912.69999999998,6.785714285714286
"В реальности материальные институты и культурные традиции находятся в нерасчлененном единстве, поэтому современные институциональные теории рассматривают идеальные нормы, ""правила игры"" в качестве такого же института, как и социальные организации.",2.5294117647058822,26.0,1.0,6.0,1.0,0.3142857142857143,0.0571428571428571,0.2,0.0,35,137927.90000000002,7.551724137931035
В реальности учитель использует все эти роли в разных ситуациях и в разной мере.,1.8571428571428568,10.0,0.0,4.0,0.0,0.3333333333333333,0.0666666666666666,0.1333333333333333,0.0,15,101770.8,4.785714285714286
"В результате аварии пассажирского автобуса и грузовика на автотрассе A31 неподалеку от города Мец на северо-западе Франции погибли, по меньшей мере, семеро и ранены около 30 человек.",2.5161290322580645,17.0,0.0,3.0,0.0,0.34375,0.0625,0.0625,0.0,30,115779.4,5.777777777777778
"В результате в ""Возвращении короля"" кадров с компьютерными эффектами оказалось 1490 - больше, чем в первом и втором фильмах вместе взятых.",2.9166666666666665,12.0,0.0,5.0,1.0,0.24,0.08,0.12,0.0,25,111216.2,5.619047619047619
"В результате глубоких прорывов немецких танковых соединений основные силы советских Западного, Резервного и Брянского фронта оказались в окружении в районе Вязьмы и Брянска.",2.25,14.0,0.0,3.0,0.0,0.28,0.04,0.32,0.0,25,134352.0,6.565217391304348
В результате люди стали охотнее брать деньги в долг и покупать на них дома.,1.5,10.0,0.0,5.0,0.0,0.3333333333333333,0.2,0.0,0.0666666666666666,15,84095.20000000001,4.428571428571429
"В результате по прошествии какого-то времени вся материя и, что самое обидное для нас, биомасса превратятся в скопище нанороботов, в ""серую слизь"", как образно назвал ее Эрик Дрекслер.",2.5,17.0,0.0,7.0,2.0,0.2162162162162162,0.054054054054054,0.081081081081081,0.054054054054054,35,112642.8,5.607142857142857
В результате потерь кораблей и морской авиации в первый день войны не было вообще.,2.142857142857143,10.0,0.0,2.0,0.0,0.4,0.0,0.1333333333333333,0.0,15,88330.70000000001,4.928571428571429
В следующем послании Онищенко постарается учесть проколы и на агентурные данные уже не ссылается: анализ и только анализ.,1.947368421052632,14.0,0.0,4.0,0.0,0.25,0.15,0.1,0.0,20,110656.4,5.777777777777778
В советские времена горная техника весьма низкого качества производилась на Украине и в Казахстане.,1.4285714285714286,5.0,0.0,3.0,0.0,0.2,0.0666666666666666,0.2,0.0,15,83332.6,6.142857142857143
"В специализированных магазинах для моделистов можно приобрести и католический костел, и африканского верблюда, и даже фигурки мужчин и женщин в момент любви.",1.875,18.0,0.0,3.0,0.0,0.36,0.04,0.12,0.0,25,180507.10000000003,6.181818181818182
"В среду на пресс-конференции в Москве он, в частности, заявил, что распространенность ВИЧ в России позволяет сделать вывод о полномасштабной эпидемии.",3.1538461538461537,12.0,1.0,8.0,1.0,0.2962962962962963,0.1111111111111111,0.037037037037037,0.0,25,129868.0,6.190476190476191
"В столетнюю годовщину этого символического рубежа развития мы живем, трудимся и потребляем в условиях совсем другой экономики, достижения и проблемы которой бессмысленно измерять ростом производства чугуна, стали, тракторов и зерна.",2.911764705882353,25.0,0.0,4.0,0.0,0.3714285714285714,0.0857142857142857,0.1428571428571428,0.0285714285714285,35,145801.8,6.766666666666667
В странах Балтии и в Польше такие опасения звучат.,1.1111111111111112,6.0,0.0,2.0,0.0,0.2,0.1,0.0,0.0,10,67176.0,4.666666666666667
"В сухопутных сражениях японская армия действовала более успешно, и им удалось захватить весь Южный Китай и соединиться со своими войсками, которые действовали в то время в Индокитае.",1.896551724137931,23.0,0.0,9.0,0.0,0.1333333333333333,0.1666666666666666,0.1,0.0333333333333333,30,142018.3,5.777777777777778
"В таких условиях и здоровому человеку было выжить непросто, а больные и раненые люди умирали десятками в день.",2.210526315789474,11.0,0.0,3.0,0.0,0.3,0.1,0.1,0.0,20,104296.0,5.166666666666667
"В то время когда мучительно искались инвесторы, в том числе и на ""Сахалин-2"", еще, конечно, никто не догадывался, какое чудо случится с ценами на нефть.",2.875,26.0,1.0,4.0,1.0,0.2121212121212121,0.0909090909090909,0.0,0.0,33,137038.09999999998,5.12
"В том числе, в области гиперзвукового оружия и оружия на новых физических принципах.",1.7142857142857142,8.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,15,83123.3,5.538461538461538
В трудных случаях он видит себя сидящим в старомодном кабинете в компании Альберта Эйнштейна.,1.3571428571428572,9.0,0.0,5.0,0.0,0.2,0.1333333333333333,0.1333333333333333,0.0666666666666666,15,76812.3,5.714285714285714
В тылу и на фронте кормят в трое суток один раз и не досыта.,2.071428571428572,8.0,0.0,3.0,0.0,0.2666666666666666,0.1333333333333333,0.0,0.0,15,140313.80000000002,3.357142857142857
"В университете Южной Юты существовала традиция - перед началом занятий преподаватели каждого колледжа выезжали на день за город, на университетскую базу, чтобы обсудить планы на следующий год и познакомиться с новыми преподавателями.",2.323529411764706,29.0,1.0,9.0,1.0,0.3714285714285714,0.1142857142857142,0.1142857142857142,0.0,35,106148.39999999998,6.3125
"В ходе Крымской войны он поставляет в русскую армию свинец, серу и селитру.",1.5,8.0,0.0,4.0,0.0,0.4,0.0666666666666666,0.1333333333333333,0.0,15,78973.8,4.846153846153846
"В хоккей, который вместе с космосом и балетом был витриной и визитной карточкой.",4.142857142857143,12.0,0.0,2.0,0.0,0.2666666666666666,0.0,0.1333333333333333,0.0,15,87550.5,5.230769230769231
"В частности, в бюллетене рекомендуется немедленно эвакуировать людей от источника угрозы, ни в коем случае не пользоваться сотовыми телефонами и пейджерами поблизости.",2.083333333333333,18.0,0.0,5.0,0.0,0.32,0.12,0.04,0.0,25,121325.3,6.636363636363637
"В частности, сейчас разворачивается дискуссия между Минфином и Минэкономразвития по поводу налогов, в частности, налога на добавленную стоимость - НДС, и пока не совсем понятно, чья позиция возьмет верх.",2.911764705882353,29.0,0.0,4.0,0.0,0.3142857142857143,0.0857142857142857,0.0285714285714285,0.0,35,145071.4,6.0344827586206895
"В числе аспирантов были и сыновья Солженицына - Ермолай и Степан, да и сам Исаевич приезжал порой посмотреть на это чудо в штате Вермонт и даже там выступал.",2.206896551724138,14.0,0.0,4.0,0.0,0.1666666666666666,0.1,0.0333333333333333,0.0,30,200595.7,4.642857142857143
"В этих договорах определены основные направления совместной работы по повышению эффективности подготовки квалифицированных специалистов для печатных СМИ, участию работников кафедры и студентов в деятельности редакций газет и журнала.",1.7241379310344829,25.0,0.0,2.0,0.0,0.5333333333333333,0.0666666666666666,0.1,0.0,30,112041.0,7.357142857142857
"В этом заключались его и сила, и слабость.",1.3333333333333333,6.0,0.0,2.0,0.0,0.2,0.1,0.0,0.1,10,74861.40000000002,4.375
"В этом случае определяется время завершения игры в игровой день, и по достижении этого времени игрок, чья очередь ходить, должен отложить партию, которая затем доигрывается в определенный турнирными правилами день.",3.323529411764706,30.0,1.0,9.0,0.0,0.3428571428571428,0.1428571428571428,0.0857142857142857,0.0,35,110806.6,6.166666666666667
"В-третьих, как и в любом деле, главное тут - вера в себя.",3.1875,12.0,0.0,3.0,1.0,0.1176470588235294,0.0,0.0588235294117647,0.0588235294117647,15,101959.6,3.8333333333333335
"В-третьих, население страны поставлено в такое положение, когда ему приходится выбирать между бесчеловечностью террористов и бесчеловечностью власти - и большинство выбирает власть.",2.269230769230769,19.0,1.0,7.0,1.0,0.3703703703703703,0.1481481481481481,0.0,0.037037037037037,25,106602.60000000002,7.2727272727272725
Важно приходить в эту мерзость запустения и преображать ее.,2.111111111111111,8.0,0.0,4.0,0.0,0.2,0.2,0.1,0.1,10,68621.6,5.666666666666667
Валютный курс при саддамовском режиме по разным сделкам и операциям отличался в тысячу раз.,1.7142857142857142,8.0,0.0,3.0,0.0,0.4,0.0666666666666666,0.2,0.0,15,75779.8,5.571428571428571
