INPUT:text	OUTPUT:category	CONFIDENCE:category	
Ничего нового не открыл и именем своим не назвал .	[5]	99.99%	
Есть и еще один момент в пользу таких сооружений .	[6]	100.00%	
Затем описания и изображения следует воспроизвести в больших количествах .	[5]	100.00%	
Среди этих ходатайств были и личные , и групповые .	[4]	99.99%	
И не только выпивку и курение в старших классах .	[7]	100.00%	
В этом заключались его и сила , и слабость .	[4]	52.30%	
Отец в первый же понедельник ушел добровольцем в ополчение .	[6]	100.00%	
Наше место как раз в группе МИФИ и МИСиС .	[6]	100.00%	
Связь с комбатами и с огневыми позициями не прерывалась .	[4]	100.00%	
"Распорядился : "" Освободить и вернуть в Москву "" ."	[1]	99.99%	
Эта истина фиксируется в документах ЮНЕСКО и Совета Европы .	[2]	50.68%	
Во взводе были и молодые солдаты , и опытные .	[1]	99.99%	
Она вовремя соскочила , развелась и уехала в Лондон .	[3]	100.00%	
Дело здесь не в оборудовании , а в другом .	[2]	100.00%	
Лю Шаоци избивали , и он умер в заключении .	[1]	100.00%	
Вы привели в правительство Гайдара и его команду реформаторов ?	[5]	99.99%	
Так что встречались мы и расставались спокойно и радостно .	[4]	99.99%	
Поступившие предложения изучаются и уже использованы в работе пленума .	[4]	99.99%	
Он преподавал химию и в других петербургских учебных заведениях .	[3]	65.12%	
Он свистит над головами и детей , и взрослых .	[1]	99.99%	
Пытался он внести и новые предложения в производство обуви .	[3]	99.99%	
Между тем сквозил в них и несомненный мифоборческий оттенок .	[7]	100.00%	
Сделал добро и погордился - вот и нет добра .	[5]	100.00%	
"Может прийти участковый и утащить нас в суд "" ."	[2]	100.00%	
Есть и нулевое чтение , существует согласование в правительстве .	[6]	100.00%	
Секретарь вытаращил глаза на арестанта и не дописал слова .	[3]	100.00%	
"Они никогда не устают и не боятся огня "" ."	[3]	100.00%	
Мы вообще много чего не знали и не пробовали .	[5]	100.00%	
Электричества , разумеется , не было и в помине .	[4]	100.00%	
Он рискнул всем - и карьерой , и здоровьем .	[2]	100.00%	
Я имею в виду Сибирское отделение и Новосибирский университет .	[7]	89.33%	
Много работало комиссий - и внешних , и университетских .	[5]	100.00%	
Осуждали меня и Николай Иванович , и Мери Михайловна .	[1]	100.00%	
Дзержинский попросил дедушку выйти в приемную и подождать там .	[6]	53.93%	
Они раскрывались поутру в траве и под вечер увядали .	[1]	99.99%	
Легкие и нержавеющие материалы как нельзя кстати в судостроении .	[7]	95.47%	
Есть и лимоновцы , и даже бывшая либеральная публика .	[1]	99.99%	
Однако и в Грязях нас устраивало далеко не все .	[7]	100.00%	
Потом Татьяна провалилась в сон и очнулась уже засветло .	[5]	54.96%	
Недостатки использования ребризеров - дороговизна и сложность в эксплуатации .	[4]	100.00%	
Это была вторая поездка дяди и племянника в Дуплянку .	[7]	99.99%	
Госпиталь формировался в Курске от союза земств и городов .	[5]	99.99%	
Хотя защищаться , в сущности , и не собирался .	[3]	100.00%	
Важно приходить в эту мерзость запустения и преображать ее .	[3]	66.02%	
Я не был готов возвратиться в Ленинград и согласился .	[3]	99.99%	
Удивительно , ведь нефти и алмазов в регионе нет !	[5]	80.83%	
Деревянный стол и две простые деревянные лавки в углу .	[2]	100.00%	
Да и налоги в международных водах платить не надо .	[6]	79.97%	
Что интересно - нет никаких разногласий и в политике .	[3]	51.74%	
Потребуются и опыт , и новые механизмы международного регулирования .	[6]	100.00%	
Да и обнаружилось это в тех авариях не сразу .	[2]	99.99%	
Как я могу быть и там , и здесь ?	[1]	53.18%	
Неожиданно резким движением струйка метнулась в сторону и скрылась .	[6]	99.99%	
Виноват не дефицит природных ресурсов и не экологические катастрофы .	[5]	99.99%	
В 1966 году он умер в одиночестве и нищете .	[1]	100.00%	
