text,confidence,category
"С этого самого дня , так остро запомнившегося Гаянэ и совершенно забытого Викторией , в Гаянэ проснулась необыкновенная чуткость ко всему темному и тревожному .",100.00%,6
"Поэтому , если внимательно посмотреть на этот процесс и зарегистрировать от него вспышку электромагнитного излучения , то можно , расшифровав эту вспышку , кое-что узнать и про сам процесс .",100.00%,5
"Научная фантастика , как известно , предлагает и такие пессимистические сценарии , в которых вытеснение рутинного , малоинтеллектуального и тяжелого труда часто сопровождается вытеснением человека из сферы труда вообще .",100.00%,7
"Только с декабря 1986 г. по март 1987 г. им получено без оплаты продовольственных заказов на 2800 рублей , в том числе коньяка и вина - на 1400 рублей .",100.00%,4
"В том числе , в области гиперзвукового оружия и оружия на новых физических принципах .",100.00%,3
Законы СССР и правовые акты органов государственной власти и управления СССР действуют на территории Литовской ССР лишь после их утверждения Верховным Советом Литовской ССР и регистрации в установленном порядке .,100.00%,7
"Хотя защищаться , в сущности , и не собирался .",100.00%,3
"Впрочем , вашингтонские журналисты говорят , что следователи не готовы на 100% утверждать , что покушение на Джояла не связано с его участием в программе про Александра Литвиненко или с каким-то иными его делами .",100.00%,7
"Постепенно начнут рушиться барьеры - между работой и домом , работой и уходом на пенсию , работой и досугом .",100.00%,3
"Факт сам по себе чрезвычайно интересный , однако такое "" семеричное счисление "" возраста , в общем - то , вполне соответствовало границам физиологических и психологических перемен , происходящих в организме по мере взросления .",100.00%,7
"Именно поэтому обидно , что в обычные дни мы не видим спешащих на помощь милиционеров и улыбающихся пассажиров метро .",100.00%,4
"Могло и у Кадырова лопнуть ( в юбилейный день , после которого он , считай , президент ) , могло и у многих других .",100.00%,6
"В 1990-х годах в экономически развитых странах расходы на рекламу и пиар росли в полтора - два раза быстрее , чем расходы на исследования и разработку новых продуктов , и даже обгоняли рост ВВП .",100.00%,5
"Основные исследования лаборатории сфокусированы в области коммуникаций , кооперации и обучения в многочисленных группах .",100.00%,4
"Энтузиазм и интеллектуальный подъем , вызванный таким открытием , заражает и ту научную среду , в которой оно произошло .",100.00%,6
"Солдат ответил : "" А помните , в Симферополе в тысяча девятьсот четвертом году при отправлении нашего полка в Маньчжурию вы изволили выдать всем солдатам по рублю деньгами и по чарке водки каждому ? """,100.00%,7
"Мы , чем могли , облегчали их страдания и уже на своем транспорте отправляли в госпиталь на станцию Столбцы .",100.00%,3
"Позднее ленд-лиз распространяется на Китай , Грецию и Югославию .",100.00%,4
"Симпатичная , в золотых украшениях , на безымянном пальце правой руки серебряное кольцо с бриллиантом , в армейских френче , брюках , кепке и с оружием - трофей полевого командира , его дорогая игрушка .",100.00%,7
"Сегодня в ответном поединке решится , кто же встретится в плей-офф с ирландцами и завоюет путевку на чемпионат мира .",100.00%,3
"За неделю начальник управления собирался позвонить Савельеву , который занимал теперь такой же пост , как и Семен Еремеевич в соседней области , и узнать о деловых качествах Ефимовой .",100.00%,7
"О прежней профессии , конечно , и думать было нечего - с этим я примирилась безропотно , кто знает , может быть , с тайной радостью , что больше не надо изводиться отсутствием таланта …",100.00%,7
"Он поселился в Душанбе и напомнил о себе через год , когда выступил свидетелем обвинения на процессе Андрея Синявского и Юлия Даниэля , которые когда-то считали его своим другом .",100.00%,5
"Помню , едем мы на съемки , Калик протягивает мне сценарий в синем переплете и показывает : "" Вот здесь в верхнем правом углу на моем деле было написано : "" ХВ "" "" .",99.99%,5
"Вот разговариваю с коллегой и упоминаю о том , что очень люблю сирень , - для меня она ассоциируется с весной , сокрушаюсь , что в Сидар-сити нет сирени .",100.00%,6
"Естественно , я не пытался в этом кого-нибудь разуверить .",100.00%,2
"Распорядился : "" Освободить и вернуть в Москву "" .",100.00%,3
В странах Балтии и в Польше такие опасения звучат .,100.00%,1
"Мембраны , ограниченные перегородками , нужно собрать в пакет , тогда то , что не доберет в исходном растворе одна мембрана , доберет вторая , третья и т. д .",100.00%,7
"Овцы и куры прекрасно вписались в культурный контекст инсталляций Ильи Кабакова , фотографий Марины Абрамович и лекций по урбанистике Герта Урхана , поскольку были правильно отобранными овцами и курами .",100.00%,5
Он и в шестьдесят еще участвовал в самых известных марафонах в разных точках мира .,100.00%,1
"Кому я только его не показывал , никто не говорил , что фильм плохой , просили сократить , я сокращал , но фильм так и не вышел на экраны .",100.00%,4
"И все это _ не из-под палки , а добровольно и с огромным интересом .",100.00%,3
"Например , в октябре 2003 года в исследовательском центре Xerox разработали новую технологию подающего механизма для копиров и принтеров .",100.00%,5
"И он это понимал , это его и погубило .",100.00%,3
"Шахматы - настольная логическая игра специальными фигурами на 64-клеточной доске для двух соперников , сочетающая в себе элементы искусства ( в части шахматной композиции ) , науки и спорта .",100.00%,5
"Приведенные примеры показывают , как волна креатива поднимает на вершину капитализации те компании , которые функционируют на основе принципа : деньги делаются не на продукте и даже не на бренде , а на тренде .",100.00%,7
Описание его маршрута было известно в средневековой Европе и могло быть известно братьям Поло ещё в их первом путешествии .,100.00%,4
"Большинство именно так и думает , хотя возникло это словосочетание в противовес церковному браку и означает как раз таки гражданский брак , зарегистрированный государством .",100.00%,7
"Заключение тюремного врача свидетельствует о том , что Абакумова ( ему было всего сорок с небольшим , и на здоровье он прежде не жаловался ) превратили в полного инвалида .",100.00%,5
"Такая вспышка наблюдалась в Челябинске , и очевидцы отмечают , что они чувствовали жар .",100.00%,2
"Если закрыть глаза на те из наших достоинств , которые существуют исключительно в наших глазах , я бы не решился утверждать , что такое сравнение - в нашу пользу .",100.00%,5
Недаром Христос избрал апостолов из мужчин и не включил в их число свою мать .,100.00%,3
"В этих договорах определены основные направления совместной работы по повышению эффективности подготовки квалифицированных специалистов для печатных СМИ , участию работников кафедры и студентов в деятельности редакций газет и журнала .",100.00%,7
"Рыба подходила и ела , но крючок не брала …",100.00%,2
"Общественный прогресс настоятельно требует сообща решать и другие общечеловеческие проблемы ( экологическую , продовольственную , к примеру ) , налаживать конструктивное взаимодействие государств и народов в масштабах всей планеты .",100.00%,7
Андрей Аркадьевич накрыл террариум крышкой и закрыл на защелку .,100.00%,2
"Я тут же отозвалась и написала : "" Дорогой Сенечка , в этот день хочу тебе сказать , что мы тебя любим и помним .",100.00%,6
"Потом хозяйка рассказала мне , как они , войдя в старый захламленный сарай , осмотрелись , почесали затылки и , высказавшись в том смысле , что тут сам черт ногу сломит , пошли назад .",100.00%,7
"У нас изменились и условия , и возможности , и желание людей трудиться , и период активной жизни , поэтому решение принимать необходимо "" .",100.00%,7
"Видимо , он разочаровался в том , что начиналось в перестройку , а уже в 1993 году ему стало ясно , что дело плохо .",100.00%,5
"Россия же , так и не успевшая стать национальным государством в тот период , когда это было мировой тенденцией , сегодня испытывает еще большие проблемы с осознанием единого прошлого .",100.00%,6
"Тех , кто остро ощущает их дефицит не только на выборах , но и в повседневной жизни , постоянно сталкиваясь с унижающим произволом чиновника .",100.00%,5
"Да ведь и на украинском фронте то же самое , хотя и масштабнее , одна газовая война чего стоит .",100.00%,5
"Все шесть добровольцев из американской редакции Popular Mechanics , согласившиеся опробовать на себе эту штуку , докладывали о дискомфорте различной степени тяжести , начиная с головной боли и кончая тошнотой , и пищеварительными эксцессами .",100.00%,7
"Ученые сразу же синтезировали вещество - тот самый антиоксидант , который они подсмотрели в природе , прицепили его к молекуле - "" электровозу "" и стали испытывать сначала на клетках , потом на животных .",100.00%,7
"Я даже не очень понимаю , в чем проблема .",100.00%,1
"Узнать заветный список непросто , но американцы делают деньги и другим способом - точные прогнозы улучшают их репутацию и превращают в "" звезд "" биржевой аналитики , а такой статус автоматически означает повышенную зарплату .",100.00%,6
"При этом ученые обращают внимание на то , что даже в традиционно много работающих Японии и Великобритании производительность труда при росте занятости не растет ( Япония ) и даже незначительно падает ( Великобритания ) .",100.00%,6
"Кстати , может быть , именно в условиях войны и разрослись непомерно эти пороки .",100.00%,3
"Что кризис в отношениях с Западом стал отмычкой , чтобы распечатать разные государственные фонды - и Пенсионный , и фонды развития , и , может быть , золотовалютные резервы ?",100.00%,6
"Как сообщили в понедельник в ГУГО и ЧС Москвы , в воскресенье около 18 четверо детей из афганской семьи возвращались домой через Чермянский пруд .",100.00%,7
"Если в организме клеток гибнет больше , чем рождается , это и означает старение .",100.00%,2
Козак говорит о коррупции и клановости на Северном Кавказе ?,100.00%,2
"Например , на экономический факультет МГУ в 2006 году он составлял шесть человек на место , а в 2008-м - пять человек на место .",100.00%,3
"Вместе со своим благодетелем мы сошли в подвал , он отпер дверь и вполголоса велел Ткаченко следовать на выход .",100.00%,3
"Беда , собственно , не в самом Паустовском , а в специфических ожиданиях публики .",100.00%,3
"Правительство в ближайшее время рассмотрит вопрос об отмене квот на высококвалифицированных мигрантов , которые будут работать в Сибири и на Дальнем Востоке , заявил первый вице-премьер РФ Игорь Шувалов .",100.00%,6
"С немцами проще : и мы туда , _ и они _ к нам .",100.00%,3
"Третье задание представляло собой , в сущности , физическую задачу ( и некоторые ребята решили ее методами физики ) , к тому же в ее формулировке была допущена ошибка .",100.00%,5
Все неприятное и неожиданное случилось в рамках военного конфликта .,100.00%,1
"Она активно используется , в частности , в бизнесе и в социальной практике , задавая определенные рамки и ориентиры для организации деятельности развивающихся коллективов .",100.00%,5
"Отметим , что Siemens - рекордсмен и по тишине работы ( обратная сторона - небольшая мощность всасывания ) , и по размерам - его небольшой рост и габариты позволяют протиснуться в самые отдаленные уголки .",100.00%,7
"Поэтому сейчас есть возможность оценить и энергетику , и характер прохождения метеорита через атмосферу .",100.00%,3
"С другой стороны - со стороны общества - имело место дозревание движения , которое началось в 1956 году и которое с самого начала содержало в себе серьезный рабочий компонент .",100.00%,7
Вместе с тем мирный договор между СССР и Японией так и не был подписан .,100.00%,2
"С торца он имел отдельный вход в помещение , где и располагался фельдшерский пункт .",100.00%,2
"Мама , как и многие вдовы , не любила мужиков , оставшихся в живых .",100.00%,4
"Миновал внешний периметр безопасности - коридоры между бетонными заборами , вышки с пулеметчиками , гирлянды колючей проволоки - и сразу же попал в суету и грязь бедного восточного города .",100.00%,6
"Он уже расчистил довольно широкую полосу , и там плотно , крепко круглились сероватые в просинь и розоватость лобастые булыжники , а дальше шоссе терялось в густой поросли сорняков .",100.00%,7
"Легионы ушибленных выставкой в Сахаровском центре - миф следствия , и это , без сомнения , выявится в суде .",100.00%,7
"Американские "" Трешер "" и "" Скорпион "" , ушедшие на дно со всем экипажем , погубил не реактор , а неполадки с балластной цистерной и взрыв торпеды соответственно .",100.00%,5
"Спортсменам помогали лишь в отдельных регионах , а из Москвы раз в четыре года нехотя выделяли деньги на участие в "" ненужных "" параолимпиадах .",100.00%,5
"Хотя , разумеется , если он и возможен , то только в отдаленном будущем .",100.00%,3
"В Заполярье же который год сотни тысяч "" энтузиастов "" , приехавших за "" длинным рублем "" еще до 1991 года , не могут выехать "" на материк некуда и _ не на что .",100.00%,7
"В результате глубоких прорывов немецких танковых соединений основные силы советских Западного , Резервного и Брянского фронта оказались в окружении в районе Вязьмы и Брянска .",100.00%,3
"Интересно , что на другом конце света , в Центральной и Южной Америке , ацтеки и инки тоже использовали жадеит как жертвенный камень "" .",100.00%,5
"Там я когда-то зарабатывал , выходя с пикой на восьмом плане в опере "" Аида "" или танцуя в самом последнем ряду во время ночных съемок какого-то белорусского фильма .",100.00%,7
"Балерина , она танцевала сольные партии пусть не на сцене Большого театра , но уж , конечно , не _ _ Малого , и до сих пор в состоянии выполнить десяток - другой фуэте .",100.00%,6
"Меня нисколько не удивило , что мой силач отец не мог донести со станции арбуз и вынужден был катить его по земле ; что за второе место в беге он заплатил маленьким сердечным припадком .",100.00%,7
"Тогда он смахнул с нее снег , взял на руки и отнес в дирекцию .",100.00%,2
"Поэтому жертвами большого террора стали люди , невероятно далекие от политической и общественной жизни , - рабочие , крестьяне , мелкие служащие и сами чекисты , которые отправлялись в топку вслед за своими жертвами .",99.99%,5
"Рыночная экономика в том и состоит , что плоды твоего труда должны быть защищены .",100.00%,2
"И с той минуты , как стал первым секретарем в Свердловске , поверил в то , что может и должен руководить всем и всеми .",100.00%,5
"Немного найдется книг , отвечающих одновременно и на справочные , и на специальные , и на самые общие вопросы .",100.00%,6
"В-третьих , как и в любом деле , главное тут - вера в себя .",100.00%,2
"Тут и сопереживания единомышленников - коммунистов , тут и заинтересованность в экономическом , научном и культурном сотрудничестве , тут и озабоченность дальнейшими судьбами разоружения .",99.99%,7
"Это и есть та власть , которая вот эту систему же и создала "" .",100.00%,2
"Очевидно , что блицкрига в Сирии не будет , да его , скорее всего , никто и не планировал .",100.00%,3
"Да и переправиться на другой берег в Тарусе не просто , так как ни моста , ни парома нет .",100.00%,3
Это привело к безумному соперничеству за сырье и росту розничных цен на подсолнечное масло ( осенью оно подорожало минимум на 150 % и сейчас опять растет в цене ) .,100.00%,4
"Для этого пришлось пройти через долгое и болезненное переосмысление прошлого , чего в России так и не было сделано .",100.00%,4
"Сумма контракта не разглашалась и не разглашена до сих пор - лорд Белл в нескольких интервью после подписания контракта называл разве что порядок цифр - "" миллионы "" , которые намерен заработать на Беларуси .",100.00%,6
Сегодня идеи Ламарка находят ограниченное применение при моделировании эволюции в системах искусственного интеллекта и в некоторых исследованиях по иммунологии .,100.00%,5
Нетрадиционная энергетика в нашей стране находится в эмбриональном состоянии .,100.00%,4
"Именно такой национализм уже шел рука об руку с либерализмом в период распада колониальных империй и во времена "" бархатных революций "" в Восточной Европе в конце прошлого столетия .",100.00%,5
"Она вся - продукт российского производства и российских технологий , что позволило выйти на новый уровень не только технических решений , но и качества .",100.00%,6
Однако в боях в предгорьях Кавказа и под Новороссийском советским войскам удалось остановить противника .,100.00%,2
Сегодняшняя школа все чаще не устраивает взрослых и детей .,100.00%,2
"Уже стали забываться "" черные понедельники "" в Уфимском горкоме партии - еженедельные разносы на аппаратных совещаниях , не томятся в ожидании приема толпы руководителей в приемной Р. Рахматуллина .",100.00%,6
"Часть топлива была отправлена на переработку , а часть сгрузили в новое хранилище , но последнее было построено в качестве временного , и окончательно вопрос безопасного хранения высокоактивных отходов до сих пор не решен .",100.00%,5
"Аналогичной должна быть позиция в отношении политических беженцев и иных мигрантов , преследуемых и дискриминируемых в местах первоначального проживания .",100.00%,6
"В Зайсанском регионе я обнаружил и собрал большое количество окаменелостей девонского возраста и даже собирался на их основе готовить кандидатскую диссертацию , т. е. лишь случайно не стал палеонтологом .",100.00%,6
"Удивительно , ведь нефти и алмазов в регионе нет !",100.00%,1
"Так и тряслась потихоньку , пока в 1950 году не уехала в благословенную Финляндию .",100.00%,3
"И суть этих скрытых от любопытных глаз отношений не только и не столько в развитии взаимовыгодных коммерческих проектов , будь то военная сфера или строительство железнодорожной ветки в Эйлат , имеющей несомненное стратегическое значение .",100.00%,7
"Смотрите : несмотря на все наши усилия и на сам тот факт , что это прямо прописано в законе , не работает норма статьи 90 УПК РФ о преюдиции .",100.00%,7
"Одна из задач - вносить наряду с внешней политикой , дипломатией , средствами информационного противоборства вклад в предотвращение войны с применением ядерного оружия и в целом сколько-нибудь крупномасштабной войны .",100.00%,7
"Кстати , стрелки из поезда на железной дороге вообще и в метро в частности из кабины не переводятся , а здоровенный штурвал , стоящий в кабинах старых поездов , приводит в действие ручной тормоз .",100.00%,6
Они позволяют осуществлять интеракцию в режиме реального времени и общего виртуального пространства и позволяют иметь доступ в коммуникационную сеть .,100.00%,4
"Городские улицы и площади не безопасны от убийц "" .",100.00%,2
"Поведение Ковалева по-иному ставило вопрос о том , что значит постоять за честь родины : послать на смерть молодых парней в далекие края и восторженно рассказывать , как они умирают с улыбкой на устах ?",100.00%,7
"В Испании в 1923 году установил диктатуру генерал Примо Де Ривера , в Польше в 1926-м - _ Пилсудский , которому сторонники приписывали сверхчеловеческие качества и даже дар предсказания .",100.00%,7
"Не осталась в стороне и редакция журнала "" Бильд дер Виссеншафт "" ( "" Зеркало науки "" ) : она посоветовала формировать команду в основном из игроков маленького роста .",100.00%,7
"Дорога уже поднималась в гору , и сразу же исчезли столбы и электрические провода .",100.00%,2
"Российское население настолько привыкло ( и приучено властью ) к расчетливому цинизму в межгосударственных отношениях , что лишено даже в малейшей степени понимания важности и ценности проявлений доброй воли .",100.00%,6
"Другой пример - Пушкин и Дюма были метисами , и ни у кого не возникает сомнений в их гениальности .",100.00%,5
"Разумеется , никто его так и не открыл , а может быть , никто никогда его и не искал .",100.00%,3
"И вот пример одной из работ , в которой люди залезли прямо в аттосекундный диапазон и смогли что-то узнать .",100.00%,4
"Многие граждане не поверили , что это и есть самый разыскиваемый в Европе политик .",100.00%,1
"Как сказал Мандельштам , "" и море и Гомер , все движется любовью "" .",100.00%,3
"Это вложения в уставные капиталы и акции российских предприятий , в реальные инвестиционные проекты .",100.00%,3
"Сам Михаил Котюков явно получил дополнительные килограммы к своему административному весу , в том числе и в вопросах формирования бюджета на исследования и разработки .",100.00%,7
"Кончик носа онемел от ужаса , ледяные мурашки ползли по спине , и темный водоворот медленно поднимал ее , и кружил , и нес в такую глубину , что она догадалась , что умирает .",100.00%,7
"Тогда косвенным свидетельством того , что "" лингвистические построения имеют корреляты в действительности "" , является , например , возможность выучить новый для себя язык по этим двум документам и свободно заговорить на нем .",100.00%,7
"Например , в республиках Северного Кавказа отчуждение от официальной власти и от ее законов замещается ростом влияния неформальных , традиционных институтов - родственных , территориально - общинных и религиозных .",100.00%,7
"Стремительно пересекая Атлантику , через полтора часа тень покажется у берегов Африки и вступит на ее побережье в Гане ; быстро пройдя через Того , Бенин и Нигерию , войдет на территорию пустыни Сахара .",100.00%,7
"Горбачев не таков , и это все знают "" .",100.00%,2
"Самостоятельно они не могут овладеть даже навыками самообслуживания , и может показаться , что их место в психоневрологических интернатах .",100.00%,5
