INPUT:text	INPUT:text1	INPUT:text2	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Бесконечные стычки и распри , дележ и взаимные наговоры .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b2fe1ec76f5c4ec125	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6b2fe1ec76f5c4ec125	34ddb15b00ac79c0a052f76006084079	APPROVED	2023-02-11T15:39:30.397
Размышление и самообучение в круг ее задач не входили .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b3006a84029c3dced4	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6b3006a84029c3dced4	cb11b48e08973ea783e7edbe9f5bacc3	APPROVED	2023-02-11T15:39:31.419
Мог иметься в виду и слесарь , и столяр .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b3800a232967d17e54	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6b3800a232967d17e54	380346cc780e564433d2cfbcce43e225	APPROVED	2023-02-11T15:39:31.272
Тут Дума и президент спохватились и вспомнили о светскости .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b3f231c761224fb049	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6b3f231c761224fb049	627f4c47529f63e1e76713338b5e89d2	APPROVED	2023-02-11T15:39:31.064
Бесконечные стычки и распри , дележ и взаимные наговоры .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b480b195458caa0a60	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6b480b195458caa0a60	243f7fd89c87f357b98b0ec66753e583	APPROVED	2023-02-11T15:39:32.935
Она уложила сено в ванночку и залила его кипятком .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b4e0e9031110acc4f6	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b4e0e9031110acc4f6	1f46bf5aa368966393e8e6dc95ba13aa	APPROVED	2023-02-11T15:39:32.550
Быть наедине и хочется , и _ _ страшно .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b4f231c761224fb072	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6b4f231c761224fb072	d783a6f9a5f397cc9a672404701d573e	APPROVED	2023-02-11T15:39:32.038
Тут Дума и президент спохватились и вспомнили о светскости .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b503b5dd74ad8f71f1	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6b503b5dd74ad8f71f1	10a0bf48d77e7da662601c4f6743a483	APPROVED	2023-02-11T15:39:33.461
Она уложила сено в ванночку и залила его кипятком .			[6]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b503b5dd74ad8f71f7	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b503b5dd74ad8f71f7	65f304ccc3b827a0a22c039d61bb6b4d	APPROVED	2023-02-11T15:39:33.605
Быть наедине и хочется , и _ _ страшно .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b55e82947f3f46992b	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6b55e82947f3f46992b	3456e333153cb57cd5419dac5042a212	APPROVED	2023-02-11T15:39:33.247
Мог иметься в виду и слесарь , и столяр .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b5fe1ec76f5c4ec135	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6b5fe1ec76f5c4ec135	6daf7b54b87ebd59aab292331c1e7277	APPROVED	2023-02-11T15:39:33.080
Бесконечные стычки и распри , дележ и взаимные наговоры .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b6e0e9031110acc549	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6b6e0e9031110acc549	360f6b6fe061ba9e1c293249721260ce	APPROVED	2023-02-11T15:39:34.448
Мог иметься в виду и слесарь , и столяр .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b7577f0875d59abc05	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6b7577f0875d59abc05	847e53fa8099557dfb8fc14707e1b45e	APPROVED	2023-02-11T15:39:35.385
Она уложила сено в ванночку и залила его кипятком .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b76458d9668b28e30a	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b76458d9668b28e30a	bc75a343cc1222bd6f634e290298428f	APPROVED	2023-02-11T15:39:35.844
Тут Дума и президент спохватились и вспомнили о светскости .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b903b5dd74ad8f7277	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6b903b5dd74ad8f7277	cdc7ef16e0e13e385e9f0778bead4b97	APPROVED	2023-02-11T15:39:37.667
Бесконечные стычки и распри , дележ и взаимные наговоры .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b91d35f828b7ff85bb	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6b91d35f828b7ff85bb	5a2826fc2abd9f9ff42404babdde1928	APPROVED	2023-02-11T15:39:37.513
Мог иметься в виду и слесарь , и столяр .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b938b49f608d4a88ae	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6b938b49f608d4a88ae	1660dc83a3b2806fb3c82eebb1d6db22	APPROVED	2023-02-11T15:39:37.185
Она уложила сено в ванночку и залила его кипятком .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b9800a232967d17ea6	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b9800a232967d17ea6	3484d47e6fa71d3bd5b843cc6c47d301	APPROVED	2023-02-11T15:39:37.144
Быть наедине и хочется , и _ _ страшно .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b9cf02855709a0fb0a	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6b9cf02855709a0fb0a	50a185e7e0e759f07be45a9ffafae074	APPROVED	2023-02-11T15:39:37.712
Быть наедине и хочется , и _ _ страшно .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ba1d35f828b7ff85e2	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6ba1d35f828b7ff85e2	036359a6c2bee305f8e6681e9cdc1171	APPROVED	2023-02-11T15:39:38.749
Бесконечные стычки и распри , дележ и взаимные наговоры .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ba1d35f828b7ff85ec	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6ba1d35f828b7ff85ec	edca193421c852528ac33afd4fb1ea0a	APPROVED	2023-02-11T15:39:38.954
Тут Дума и президент спохватились и вспомнили о светскости .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6babf19e327ec3ba923	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6babf19e327ec3ba923	f19c1b96415fa4ebadffa0b9fdf0b666	APPROVED	2023-02-11T15:39:38.881
Мог иметься в виду и слесарь , и столяр .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bacf02855709a0fb17	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6bacf02855709a0fb17	14faac6951518d2ac0e04d5c1ed1fca4	APPROVED	2023-02-11T15:39:38.263
Руководящую роль в политике и экономике играли родовые кланы .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bb03b5dd74ad8f7299	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6bb03b5dd74ad8f7299	a60874409ee2201406217e934523097e	APPROVED	2023-02-11T15:39:39.204
Размышление и самообучение в круг ее задач не входили .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bb1d35f828b7ff85f0	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6bb1d35f828b7ff85f0	f65d4387a27d6332423101e1d9afa836	APPROVED	2023-02-11T15:39:39.005
Тут Дума и президент спохватились и вспомнили о светскости .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bccf02855709a0fb4d	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6bccf02855709a0fb4d	3b0d031e1f880aacc591b507ab34df1c	APPROVED	2023-02-11T15:39:40.753
Бесконечные стычки и распри , дележ и взаимные наговоры .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bce0e9031110acc5f6	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6bce0e9031110acc5f6	5637d9565821105e14863c70b34a3e86	APPROVED	2023-02-11T15:39:40.715
Быть наедине и хочется , и _ _ страшно .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bd2b041c6b27aa777d	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6bd2b041c6b27aa777d	a6c40188c393d304cfb1f04c71627daa	APPROVED	2023-02-11T15:39:41.706
Бесконечные стычки и распри , дележ и взаимные наговоры .			[6]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bd8063982b2208f55d	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6bd8063982b2208f55d	99980e4409237134ac7a2c3d21dc3d25	APPROVED	2023-02-11T15:39:41.545
Руководящую роль в политике и экономике играли родовые кланы .			[5]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bdca25f11eaf056368	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6bdca25f11eaf056368	3c92b7a0e2ff16793de07aef96e53d75	APPROVED	2023-02-11T15:39:41.234
Тут Дума и президент спохватились и вспомнили о светскости .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bdca25f11eaf056370	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6bdca25f11eaf056370	25cff64548e182d925c57e82c4faf6d3	APPROVED	2023-02-11T15:39:41.478
Размышление и самообучение в круг ее задач не входили .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6bdca25f11eaf056376	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6bdca25f11eaf056376	142c02939f6e861bc488025773897e5d	APPROVED	2023-02-11T15:39:41.638
Быть наедине и хочется , и _ _ страшно .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6be31137e5dec1c9a6e	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6be31137e5dec1c9a6e	cb11b48e08973ea783e7edbe9f5bacc3	APPROVED	2023-02-11T15:39:42.569
Размышление и самообучение в круг ее задач не входили .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6be31137e5dec1c9a74	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6be31137e5dec1c9a74	047d93083847d8e93cab3d031374e168	APPROVED	2023-02-11T15:39:42.689
Руководящую роль в политике и экономике играли родовые кланы .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6be6c63877b65b9b49f	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6be6c63877b65b9b49f	f2c4b19c44b4c7b3eb1be0c85ad49dc6	APPROVED	2023-02-11T15:39:42.107
Тут Дума и президент спохватились и вспомнили о светскости .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6becf02855709a0fb80	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6becf02855709a0fb80	ae71dad8da578d7971bc8eaec42fbb56	APPROVED	2023-02-11T15:39:42.292
Потому что хорошее должно быть и в виде приятного .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c05aa2d3277b318fac	00023f0ffa--63e7ad0803b5dd74ad8e598f	00023f0ffa--63e7b6c05aa2d3277b318fac	44a68fb1e73695a2b8e0833c35acf3b2	APPROVED	2023-02-11T15:39:44.227
Сейчас единства в этом вопросе в России не существует .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c06458d9668b28e379	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c06458d9668b28e379	2b1b296757aec2c2060b3869f7fcf850	APPROVED	2023-02-11T15:39:44.676
Сейчас единства в этом вопросе в России не существует .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c11d35f828b7ff86a8	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c11d35f828b7ff86a8	2aed096bfaa5341c90ede8b38edce529	APPROVED	2023-02-11T15:39:45.582
Руководящую роль в политике и экономике играли родовые кланы .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c131137e5dec1c9ac0	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6c131137e5dec1c9ac0	3517248b9ad69f607cb44f9b37f3ce41	APPROVED	2023-02-11T15:39:45.190
Размышление и самообучение в круг ее задач не входили .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c140ff837b206d2676	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6c140ff837b206d2676	73125c5715950c371172d3bcf450ef3c	APPROVED	2023-02-11T15:39:45.089
Потому что хорошее должно быть и в виде приятного .			[5]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c16c63877b65b9b4b7	00023f0ffa--63e7ad0803b5dd74ad8e598f	00023f0ffa--63e7b6c16c63877b65b9b4b7	62b9f8b9c1a81f5df7a0b69c074c2884	APPROVED	2023-02-11T15:39:45.175
Быть наедине и хочется , и _ _ страшно .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c1e0e9031110acc64f	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6c1e0e9031110acc64f	9227490429b0f50b2c1a199f344eef0f	APPROVED	2023-02-11T15:39:45.155
Потому что хорошее должно быть и в виде приятного .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c21d35f828b7ff86d0	00023f0ffa--63e7ad0803b5dd74ad8e598f	00023f0ffa--63e7b6c21d35f828b7ff86d0	f0250557191e55c6ee5b44636567264d	APPROVED	2023-02-11T15:39:46.828
Китай тому пример , да и не только он .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c26c63877b65b9b4d6	00023f0ffa--63e7ad1603b5dd74ad8e5bcf	00023f0ffa--63e7b6c26c63877b65b9b4d6	77ba3de3a0ac415bc7d9aa0db8a00634	APPROVED	2023-02-11T15:39:46.827
Сейчас единства в этом вопросе в России не существует .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c2ca25f11eaf0563ed	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c2ca25f11eaf0563ed	7970c2dd76e091324c93c50f799ff30f	APPROVED	2023-02-11T15:39:46.479
Размышление и самообучение в круг ее задач не входили .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c3577f0875d59abd0b	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6c3577f0875d59abd0b	3c92b7a0e2ff16793de07aef96e53d75	APPROVED	2023-02-11T15:39:47.404
Руководящую роль в политике и экономике играли родовые кланы .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c440ff837b206d26b3	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6c440ff837b206d26b3	50a185e7e0e759f07be45a9ffafae074	APPROVED	2023-02-11T15:39:48.197
Китай тому пример , да и не только он .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c48fb2e27ee93cb3bb	00023f0ffa--63e7ad1603b5dd74ad8e5bcf	00023f0ffa--63e7b6c48fb2e27ee93cb3bb	1985259f3c30cb5abe2e28a12a2d4df0	APPROVED	2023-02-11T15:39:48.605
Сейчас единства в этом вопросе в России не существует .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c4cf02855709a0fc41	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c4cf02855709a0fc41	2de29bdbc2290c68c4091b56ce3c624c	APPROVED	2023-02-11T15:39:48.630
Размышление и самообучение в круг ее задач не входили .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c4f231c761224fb1ed	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6c4f231c761224fb1ed	10a0bf48d77e7da662601c4f6743a483	APPROVED	2023-02-11T15:39:48.592
Сейчас единства в этом вопросе в России не существует .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c5006a84029c3dd058	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c5006a84029c3dd058	bf7d1d41eecec27740c2e409d3aafcdf	APPROVED	2023-02-11T15:39:49.455
Китай тому пример , да и не только он .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c52b041c6b27aa78ad	00023f0ffa--63e7ad1603b5dd74ad8e5bcf	00023f0ffa--63e7b6c52b041c6b27aa78ad	afd760f2591247f6d63d27b7f4c601db	APPROVED	2023-02-11T15:39:49.618
Потому что хорошее должно быть и в виде приятного .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c5800a232967d17f70	00023f0ffa--63e7ad0803b5dd74ad8e598f	00023f0ffa--63e7b6c5800a232967d17f70	10065a4e52e2bebe4665eaf83acf1433	APPROVED	2023-02-11T15:39:49.181
Руководящую роль в политике и экономике играли родовые кланы .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c5e0e9031110acc6c9	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6c5e0e9031110acc6c9	e21cd8ad240dc41376cc609afa585e91	APPROVED	2023-02-11T15:39:49.140
Потому что хорошее должно быть и в виде приятного .			[6]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c603b5dd74ad8f73b0	00023f0ffa--63e7ad0803b5dd74ad8e598f	00023f0ffa--63e7b6c603b5dd74ad8f73b0	0e956d3df072e94bc792ced875e1a101	APPROVED	2023-02-11T15:39:50.888
Китай тому пример , да и не только он .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c68063982b2208f5c5	00023f0ffa--63e7ad1603b5dd74ad8e5bcf	00023f0ffa--63e7b6c68063982b2208f5c5	420982db70b405e2bcdc1dc117ee6dfc	APPROVED	2023-02-11T15:39:50.579
Сейчас единства в этом вопросе в России не существует .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c680b195458caa0bef	00023f0ffa--63e7ad0903b5dd74ad8e59bf	00023f0ffa--63e7b6c680b195458caa0bef	6807710ddb6f9250a8b1212697d827e5	APPROVED	2023-02-11T15:39:50.753
Руководящую роль в политике и экономике играли родовые кланы .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c68fb2e27ee93cb3e8	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6c68fb2e27ee93cb3e8	0c2627b94e0a236ea959448faa25f410	APPROVED	2023-02-11T15:39:50.553
Китай тому пример , да и не только он .			[5]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c72b041c6b27aa78ee	00023f0ffa--63e7ad1603b5dd74ad8e5bcf	00023f0ffa--63e7b6c72b041c6b27aa78ee	f2c4b19c44b4c7b3eb1be0c85ad49dc6	APPROVED	2023-02-11T15:39:51.945
Руководящую роль в политике и экономике играли родовые кланы .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c731137e5dec1c9bb3	00023f0ffa--63e7ad1a03b5dd74ad8e5c9e	00023f0ffa--63e7b6c731137e5dec1c9bb3	e076a5f5ce6427f846cd4b7578eaa9dd	APPROVED	2023-02-11T15:39:51.273
Размышление и самообучение в круг ее задач не входили .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6c76c63877b65b9b536	00023f0ffa--63e7ad0703b5dd74ad8e5956	00023f0ffa--63e7b6c76c63877b65b9b536	5b1f83bd06959e3355decafb268e5272	APPROVED	2023-02-11T15:39:51.351
